TRIP_CODE,STARTPORT,ENDPORT,REGION,STARTLATITUDE,STARTLONGITUDE,STARTSAMPLEDATEUTC,ENDLATITUDE,ENDLONGITUDE,ENDSAMPLEDATEUTC,MILES,VESSEL_NAME,ACKNOWLEDGEMENTS
HOAN20180116,Hobart,Antarctica,Southern Ocean,-62.7252,90.5537,2018-01-16 05:19:00,-43.6373,147.1824,2018-01-25 01:04:00,2347.36,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20181025,Hobart,Antarctica,Southern Ocean,-60.0144,96.7795,2018-10-25 21:58:00,-45.6462,146.2557,2018-11-02 19:59:00,1789.6,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20181206,Hobart,Antarctica,Southern Ocean,-47.0272,141.8725,2018-12-06 09:27:00,-43.7389,147.0702,2018-12-07 11:45:00,299.91,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20190113,Hobart,Antarctica,Southern Ocean,-47.0909,137.0704,2019-01-13 09:25:00,-43.7183,146.958,2019-01-15 02:04:00,466.61,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20190120,Hobart,Antarctica,Southern Ocean,-47.1661,146.6282,2019-01-20 02:57:00,-43.9603,147.3767,2019-01-20 22:20:00,199.88,RV Investigator,AAD; CSIRO; MNF - IN2019_V01; SOCPR
HOAN20191025,Hobart,Antarctica,Southern Ocean,-47.1284,136.0494,2019-10-25 21:49:00,-44.3297,144.9828,2019-10-27 13:35:00,415.05,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20191222,Hobart,Antarctica,Southern Ocean,-47.118,141.7424,2019-12-22 09:35:00,-43.845,146.9564,2019-12-23 11:09:00,299.84,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20200121,Hobart,Antarctica,Southern Ocean,-47.0801,142.7996,2020-01-21 05:50:00,-44.0327,146.6743,2020-01-22 00:43:00,249.88,Aurora Australis,AAD; CSIRO; SOCPR
HOBR20120411,Hobart,Brisbane,Southern East Australian Currect,-35.32927,150.92458,2012-04-14 09:54:13,-26.80672,153.9901,2012-04-17 19:03:11,515,Southern Surveyor,CSIRO
HOFR20100329,Hobart,Fremantle,Great Australian Bight,-43.7926,114.0094,2010-03-29 09:45:00,-31.9526,147.4653,2010-04-06 23:35:00,1776.07,Southern Surveyor,CSIRO
